#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
3759 6 7 -0.0769231 0.276528 86.185 0.163 51.4373 1.95346
3761 3 2 0.2 0.438178 86.185 0.163 51.4157 1.94923
3762 13 11 0.0833333 0.203414 86.185 0.163 51.473 1.94435
3763 12 12 0 0.204124 86.185 0.163 51.4104 1.9408
3764 9 3 0.5 0.25 86.185 0.163 51.4762 1.94052
3765 9 13 -0.181818 0.209647 86.185 0.163 51.5979 1.94047
3766 10 15 -0.2 0.195959 86.185 0.163 51.6955 1.94103
3767 6 7 -0.0769231 0.276528 86.185 0.163 48.512 1.82961
3782 2 0 1 0 86.185 0.163 57.0055 2.03917
3784 1 6 -0.714286 0.26452 86.185 0.163 56.4649 2.03769
3786 1 1 0 0.707107 86.185 0.163 56.7218 2.02868
3787 5 3 0.25 0.342327 86.185 0.163 56.4015 2.01897
3788 6 5 0.0909091 0.300263 86.185 0.163 55.8672 2.00206
3789 7 4 0.272727 0.290081 86.185 0.163 54.4636 1.95922
3790 1 1 0 0.707107 86.185 0.163 54.0338 1.9445
3791 6 3 0.333333 0.31427 86.185 0.163 53.901 1.94606
3792 0 1 -1 0 86.185 0.163 54.0759 1.95889
3795 1 0 1 0 86.185 0.163 54.2613 1.97286
3796 0 3 -1 0 86.185 0.163 44.3658 1.634
3810 5 6 -0.0909091 0.300263 86.185 0.163 56.7945 2.06687
3811 5 4 0.111111 0.331269 86.185 0.163 56.3656 2.04402
3812 8 3 0.454545 0.268563 86.185 0.163 56.3755 2.02092
3813 3 5 -0.25 0.342327 86.185 0.163 56.1308 2.00949
3815 2 0 1 0 86.185 0.163 56.6057 1.99922
3822 2 2 0 0.5 86.185 0.163 56.2392 1.98343
3823 4 6 -0.2 0.309839 86.185 0.163 56.5094 1.99562
3824 6 7 -0.0769231 0.276528 86.185 0.163 56.2796 2.00034
3825 11 6 0.294118 0.231808 86.185 0.163 56.3316 1.99307
3826 5 8 -0.230769 0.269864 86.185 0.163 55.6882 1.9752
3827 11 5 0.375 0.231756 86.185 0.163 55.1388 1.95862
3828 9 7 0.125 0.248039 86.185 0.163 54.5422 1.94123
3829 5 5 0 0.316228 86.185 0.163 54.2276 1.93202
3830 7 12 -0.263158 0.221329 86.185 0.163 54.2086 1.93111
3832 7 6 0.0769231 0.276528 86.185 0.163 54.1927 1.93026
3833 7 3 0.4 0.289828 86.185 0.163 54.3339 1.92944
3835 6 11 -0.294118 0.231808 86.185 0.163 54.246 1.95484
3836 4 7 -0.272727 0.290081 86.185 0.163 54.3795 1.99785
3837 12 3 0.6 0.206559 86.185 0.163 54.4537 2.01771
3838 4 6 -0.2 0.309839 86.185 0.163 54.542 2.0348
3839 7 5 0.166667 0.284638 86.185 0.163 54.5751 2.02688
3840 12 5 0.411765 0.22102 86.185 0.163 54.6058 2.01983
3841 7 2 0.555556 0.27716 86.185 0.163 54.632 2.01179
3842 7 8 -0.0666667 0.257624 86.185 0.163 54.7378 1.98759
3843 4 8 -0.333333 0.272166 86.185 0.163 54.7931 1.97137
3844 5 4 0.111111 0.331269 86.185 0.163 54.9007 1.95513
3846 5 5 0 0.316228 86.185 0.163 55.245 1.95038
3847 9 7 0.125 0.248039 86.185 0.163 55.5146 1.95292
3848 6 5 0.0909091 0.300263 86.185 0.163 55.6839 1.95512
3849 11 10 0.047619 0.21797 86.185 0.163 55.4744 1.94594
3850 9 9 0 0.235702 86.185 0.163 54.9821 1.93277
3851 8 9 -0.0588235 0.242116 86.185 0.163 54.26 1.91308
3852 11 14 -0.12 0.198555 86.185 0.163 52.5752 1.87477
3853 4 9 -0.384615 0.256015 86.185 0.163 50.554 1.82865
