#run N+ N- A_raw_p dA_raw_p
5612 28 35 -0.111111 0.125208
5613 15 23 -0.210526 0.158586
5614 27 31 -0.0689655 0.130994
5615 10 4 0.428571 0.241473
5616 11 23 -0.352941 0.160462
5617 10 7 0.176471 0.238729
5619 11 22 -0.333333 0.164122
5620 34 25 0.152542 0.128665
5621 15 16 -0.0322581 0.179512
5622 3 1 0.5 0.433013
5623 19 18 0.027027 0.164339
5624 14 6 0.4 0.204939
5625 36 33 0.0434783 0.120272
5626 20 34 -0.259259 0.13143
5627 6 6 0 0.288675
5628 13 12 0.04 0.19984
5629 22 21 0.0232558 0.152457
5630 37 41 -0.0512821 0.113079
5632 30 22 0.153846 0.137024
5633 10 12 -0.0909091 0.212318
5634 19 16 0.0857143 0.168409
5654 1 5 -0.666667 0.30429
5655 11 4 0.466667 0.22836
5659 12 11 0.0434783 0.208317
5660 13 2 0.733333 0.175541
5661 15 16 -0.0322581 0.179512
5663 43 32 0.146667 0.114221
5664 17 25 -0.190476 0.151478
5665 16 19 -0.0857143 0.168409
5666 24 22 0.0434783 0.147303
5667 14 21 -0.2 0.165616
5670 4 3 0.142857 0.374088
5671 27 21 0.125 0.143205
5672 20 21 -0.0243902 0.156127
5673 24 27 -0.0588235 0.139786
5674 24 29 -0.0943396 0.136748
5675 5 5 0 0.316228
5676 12 27 -0.384615 0.147811
5678 11 16 -0.185185 0.189121
5679 12 20 -0.25 0.171163
5683 19 12 0.225806 0.174966
5685 6 7 -0.0769231 0.276528
5686 4 5 -0.111111 0.331269
5688 3 2 0.2 0.438178
5690 22 18 0.1 0.157321
5691 36 20 0.285714 0.12806
5692 25 26 -0.0196078 0.140001
5693 22 18 0.1 0.157321
5694 16 16 0 0.176777
5696 17 31 -0.291667 0.138062
5697 25 22 0.0638298 0.145568
5698 30 35 -0.0769231 0.123667
5699 11 9 0.1 0.222486
5700 7 3 0.4 0.289828
5702 29 20 0.183673 0.140427
5703 2 2 0 0.5
5704 28 19 0.191489 0.143166
5705 10 21 -0.354839 0.167918
5706 19 29 -0.208333 0.14117
5707 28 36 -0.125 0.12402
5708 18 14 0.125 0.17539
5709 28 19 0.191489 0.143166
5710 28 32 -0.0666667 0.128812
5711 17 14 0.0967742 0.178762
5712 8 4 0.333333 0.272166
5713 23 19 0.0952381 0.153602
5714 27 46 -0.260274 0.113007
5715 4 2 0.333333 0.3849
5717 21 36 -0.263158 0.127785
5718 24 29 -0.0943396 0.136748
5721 14 11 0.12 0.198555
5722 23 27 -0.08 0.140968
5723 22 25 -0.0638298 0.145568
5724 32 39 -0.0985915 0.1181
5725 29 26 0.0545455 0.134639
5726 7 17 -0.416667 0.185561
5727 22 18 0.1 0.157321
5728 14 8 0.272727 0.205119
5730 35 22 0.22807 0.128962
5732 16 30 -0.304348 0.140447
5733 17 24 -0.170732 0.153881
5734 15 23 -0.210526 0.158586
5735 12 4 0.5 0.216506
5736 9 5 0.285714 0.25612
5737 0 2 -1 0
5739 20 17 0.0810811 0.163858
