Q2,GEn_over_GD,dGEn_over_GD,dGEnPar_over_GD,dGEn_total
2.0654e-06,1.026173e-06,1.944332e-08,1.941394e-08,2.7476239898246628e-08
2.0893e-06,1.038055e-06,1.966845e-08,1.963889e-08,2.7794494523818918e-08
2.1135e-06,1.050075e-06,1.989619e-08,1.986645e-08,2.8116440246208264e-08
2.138e-06,1.062235e-06,2.012656e-08,2.009664e-08,2.84421053496959e-08
2.1627e-06,1.074535e-06,2.03596e-08,2.032951e-08,2.877155346866241e-08
2.1878e-06,1.086977e-06,2.059534e-08,2.056507e-08,2.910481289787825e-08
2.2131e-06,1.099564e-06,2.083381e-08,2.080336e-08,2.944193312956369e-08
2.2387e-06,1.112296e-06,2.107504e-08,2.104441e-08,2.9782956590132217e-08
2.2646e-06,1.125176e-06,2.131906e-08,2.128826e-08,3.0127932771951015e-08
2.2909e-06,1.138204e-06,2.156591e-08,2.153493e-08,3.047690411168759e-08
2.3174e-06,1.151384e-06,2.181561e-08,2.178446e-08,3.0829913025561715e-08
2.3442e-06,1.164716e-06,2.206821e-08,2.203688e-08,3.1187016092253844e-08
2.3714e-06,1.178203e-06,2.232373e-08,2.229222e-08,3.1548248662030356e-08
2.3988e-06,1.191846e-06,2.258221e-08,2.255053e-08,3.1913674369539464e-08
2.4266e-06,1.205647e-06,2.284368e-08,2.281182e-08,3.228332150902072e-08
2.4547e-06,1.219607e-06,2.310818e-08,2.307615e-08,3.265726078125506e-08
2.4831e-06,1.23373e-06,2.337574e-08,2.334353e-08,3.303552048036325e-08
2.5119e-06,1.248015e-06,2.36464e-08,2.361402e-08,3.3418171307245406e-08
2.541e-06,1.262467e-06,2.39202e-08,2.388764e-08,3.380525569803607e-08
2.5704e-06,1.277085e-06,2.419716e-08,2.416443e-08,3.419681606948957e-08
2.6002e-06,1.291873e-06,2.447733e-08,2.444443e-08,3.459291606606474e-08
2.6303e-06,1.306832e-06,2.476074e-08,2.472767e-08,3.499359811417654e-08
2.6607e-06,1.321965e-06,2.504744e-08,2.501419e-08,3.5398925858134456e-08
2.6915e-06,1.337272e-06,2.533745e-08,2.530404e-08,3.5808948781332575e-08
2.7227e-06,1.352757e-06,2.563083e-08,2.559724e-08,3.6223723471041734e-08
2.7542e-06,1.368421e-06,2.592759e-08,2.589384e-08,3.66432923350741e-08
2.7861e-06,1.384266e-06,2.62278e-08,2.619387e-08,3.706772610259362e-08
2.8184e-06,1.400295e-06,2.653148e-08,2.649739e-08,3.749708132378439e-08
2.851e-06,1.41651e-06,2.683867e-08,2.680442e-08,3.793140043427477e-08
2.884e-06,1.432912e-06,2.714943e-08,2.7115e-08,3.837075415371582e-08
2.9174e-06,1.449504e-06,2.746378e-08,2.742919e-08,3.881519903265343e-08
2.9512e-06,1.466289e-06,2.778177e-08,2.774702e-08,3.9264791648667894e-08
2.9854e-06,1.483267e-06,2.810344e-08,2.806853e-08,3.971958857030748e-08
3.02e-06,1.500443e-06,2.842883e-08,2.839376e-08,4.0179646366120495e-08
3.0549e-06,1.517817e-06,2.8758e-08,2.872277e-08,4.0645049888921284e-08
3.0903e-06,1.535392e-06,2.909097e-08,2.905558e-08,4.1115827422992475e-08
3.1261e-06,1.553171e-06,2.94278e-08,2.939225e-08,4.159206382114862e-08
3.1623e-06,1.571156e-06,2.976853e-08,2.973283e-08,4.207382271876184e-08
3.1989e-06,1.589349e-06,3.01132e-08,3.007735e-08,4.2561153617618255e-08
3.2359e-06,1.607752e-06,3.046186e-08,3.042586e-08,4.305412722839937e-08
3.2734e-06,1.626369e-06,3.081456e-08,3.077841e-08,4.35528142617868e-08
3.3113e-06,1.645201e-06,3.117135e-08,3.113504e-08,4.4057278361515936e-08
3.3497e-06,1.664252e-06,3.153226e-08,3.149581e-08,4.4567583154841363e-08
3.3884e-06,1.683523e-06,3.189735e-08,3.186076e-08,4.508379936074709e-08
3.4277e-06,1.703017e-06,3.226667e-08,3.222993e-08,4.5605990622875414e-08
3.4674e-06,1.722736e-06,3.264027e-08,3.260339e-08,4.6134241785955475e-08
3.5075e-06,1.742685e-06,3.301819e-08,3.298117e-08,4.666860235152751e-08
3.5481e-06,1.762864e-06,3.340048e-08,3.336333e-08,4.720915009740484e-08
3.5892e-06,1.783277e-06,3.378721e-08,3.374991e-08,4.775596281714148e-08
3.6308e-06,1.803926e-06,3.41784e-08,3.414098e-08,4.83091041307992e-08
3.6728e-06,1.824814e-06,3.457413e-08,3.453658e-08,4.8868658906842323e-08
3.7154e-06,1.845944e-06,3.497444e-08,3.493676e-08,4.943469078098092e-08
3.7584e-06,1.867319e-06,3.537938e-08,3.534158e-08,5.00072775311834e-08
3.8019e-06,1.888941e-06,3.578902e-08,3.575108e-08,5.058649695053809e-08
3.8459e-06,1.910814e-06,3.620339e-08,3.616534e-08,5.117242680201615e-08
3.8905e-06,1.93294e-06,3.662256e-08,3.658439e-08,5.176513781132723e-08
3.9355e-06,1.955322e-06,3.704658e-08,3.70083e-08,5.236471482388117e-08
3.9811e-06,1.977963e-06,3.747552e-08,3.743712e-08,5.2971242699834784e-08
4.0272e-06,2.000867e-06,3.790941e-08,3.787091e-08,5.3584785067929495e-08
4.0738e-06,2.024036e-06,3.834834e-08,3.830973e-08,5.420544800505296e-08
4.121e-06,2.047473e-06,3.879234e-08,3.875363e-08,5.4833288072597835e-08
4.1687e-06,2.071181e-06,3.924148e-08,3.920268e-08,5.546840426560692e-08
4.217e-06,2.095164e-06,3.969582e-08,3.965693e-08,5.6110874369388506e-08
4.2658e-06,2.119424e-06,4.015543e-08,4.011644e-08,5.676079031125712e-08
4.3152e-06,2.143966e-06,4.062035e-08,4.058127e-08,5.7418222794992536e-08
4.3652e-06,2.168792e-06,4.109066e-08,4.10515e-08,5.808328495777077e-08
4.4157e-06,2.193905e-06,4.156641e-08,4.152717e-08,5.875604044263875e-08
4.4668e-06,2.219309e-06,4.204766e-08,4.200835e-08,5.94365811701691e-08
4.5186e-06,2.245007e-06,4.253449e-08,4.249511e-08,6.012501320974657e-08
4.5709e-06,2.271002e-06,4.302696e-08,4.298751e-08,6.08214214141835e-08
4.6238e-06,2.297299e-06,4.352512e-08,4.348561e-08,6.152588356201396e-08
4.6774e-06,2.3239e-06,4.402906e-08,4.398949e-08,6.223851986466019e-08
4.7315e-06,2.350809e-06,4.453882e-08,4.44992e-08,6.295939395858573e-08
4.7863e-06,2.37803e-06,4.505449e-08,4.501482e-08,6.368862605514819e-08
4.8417e-06,2.405566e-06,4.557613e-08,4.553641e-08,6.442630100715856e-08
4.8978e-06,2.433421e-06,4.61038e-08,4.606405e-08,6.517251780346146e-08
4.9545e-06,2.461598e-06,4.663759e-08,4.65978e-08,6.592738251931515e-08
5.0119e-06,2.490102e-06,4.717755e-08,4.713774e-08,6.669098706954412e-08
5.0699e-06,2.518935e-06,4.772377e-08,4.768393e-08,6.746343752921133e-08
5.1286e-06,2.548103e-06,4.827631e-08,4.823646e-08,6.824483995546989e-08
5.188e-06,2.577608e-06,4.883524e-08,4.879538e-08,6.903527920709817e-08
5.2481e-06,2.607455e-06,4.940065e-08,4.936078e-08,6.983488256330714e-08
5.3088e-06,2.637647e-06,4.99726e-08,4.993273e-08,7.064374194514968e-08
5.3703e-06,2.668189e-06,5.055117e-08,5.051131e-08,7.146197048979968e-08
