#run N+ N- A_raw_p dA_raw_p
2976 6 13 -0.368421 0.213278
2981 3 5 -0.25 0.342327
2983 75 100 -0.142857 0.0748176
2984 180 165 0.0434783 0.0537873
2985 125 162 -0.12892 0.0585355
2986 25 25 0 0.141421
2988 36 26 0.16129 0.125337
2989 142 139 0.0106762 0.0596516
2990 28 38 -0.151515 0.12167
2995 153 143 0.0337838 0.0580906
2996 15 16 -0.0322581 0.179512
2997 104 93 0.0558376 0.0711359
2998 133 166 -0.110368 0.0574782
2999 163 161 0.00617284 0.0555545
3000 60 78 -0.130435 0.0843984
3001 32 31 0.015873 0.125972
3003 55 42 0.134021 0.100619
3004 179 155 0.0718563 0.0545761
3005 138 144 -0.0212766 0.0595357
3006 57 61 -0.0338983 0.0920046
3007 156 156 0 0.0566139
3008 61 78 -0.122302 0.0841822
3009 48 77 -0.232 0.0870023
3011 92 111 -0.0935961 0.0698781
3013 80 66 0.0958904 0.0823792
3014 96 82 0.0786517 0.074721
3016 73 79 -0.0394737 0.0810475
3017 62 48 0.127273 0.0945709
3018 61 50 0.0990991 0.0944486
3019 41 39 0.025 0.111768
3020 68 89 -0.133758 0.0790915
3021 63 69 -0.0454545 0.0869489
3022 16 22 -0.157895 0.160187
3024 42 47 -0.0561798 0.105832
3025 64 65 -0.00775194 0.0880424
3026 75 59 0.119403 0.0857688
3027 166 162 0.0121951 0.0552117
3028 146 122 0.0895522 0.0608393
3029 68 79 -0.0748299 0.0822474
3030 149 134 0.0530035 0.0593603
3035 156 190 -0.0982659 0.0535001
3036 118 129 -0.0445344 0.0635653
3037 35 36 -0.0140845 0.118666
3038 178 164 0.0409357 0.0540285
3039 49 47 0.0208333 0.10204
3043 175 192 -0.0463215 0.0521435
3045 180 176 0.011236 0.0529965
3046 74 82 -0.0512821 0.0799587
3047 35 28 0.111111 0.125208
3048 171 180 -0.025641 0.0533585
3049 180 192 -0.0322581 0.0518206
3050 181 190 -0.0242588 0.0519021
3051 176 184 -0.0222222 0.0526916
3052 84 96 -0.0666667 0.0743698
3054 80 62 0.126761 0.0832412
3055 43 51 -0.0851064 0.102768
3058 116 90 0.126214 0.0691161
3059 80 79 0.00628931 0.0793036
3061 89 75 0.0853659 0.0778018
3062 84 74 0.0632911 0.0793962
3063 108 107 0.00465116 0.0681987
3064 117 110 0.030837 0.0663408
3065 84 85 -0.00591716 0.0769217
3068 97 96 0.00518135 0.0719806
3069 32 28 0.0666667 0.128812
3075 71 81 -0.0657895 0.080935
3076 92 80 0.0697674 0.0760635
3077 177 185 -0.0220994 0.052546
3079 163 179 -0.0467836 0.0540146
3080 75 90 -0.0909091 0.0775275
3082 115 131 -0.0650407 0.0636227
3089 182 189 -0.0188679 0.0519082
3090 113 125 -0.0504202 0.0647379
3091 129 126 0.0117647 0.0626181
3092 151 202 -0.144476 0.0526662
3093 92 92 0 0.073721
3108 101 82 0.103825 0.0735226
3109 102 98 0.02 0.0706965
