#run N+ N- A_raw_p dA_raw_p
3510 2 1 0.333333 0.544331
3511 6 2 0.5 0.306186
3512 7 3 0.4 0.289828
3514 3 2 0.2 0.438178
3515 2 2 0 0.5
3517 16 17 -0.030303 0.173998
3518 15 11 0.153846 0.193781
3519 27 22 0.102041 0.142111
3520 18 24 -0.142857 0.152721
3521 4 8 -0.333333 0.272166
3523 19 16 0.0857143 0.168409
3524 23 18 0.121951 0.155008
3525 22 21 0.0232558 0.152457
3526 8 5 0.230769 0.269864
3552 17 13 0.133333 0.180944
3553 16 21 -0.135135 0.162891
3554 7 3 0.4 0.289828
3555 21 13 0.235294 0.166684
3556 22 24 -0.0434783 0.147303
3557 22 21 0.0232558 0.152457
3558 20 25 -0.111111 0.148148
3559 16 15 0.0322581 0.179512
3560 11 8 0.157895 0.226538
3561 16 13 0.103448 0.184699
3562 14 24 -0.263158 0.156504
3563 3 1 0.5 0.433013
3578 10 18 -0.285714 0.181104
3579 24 17 0.170732 0.153881
3580 20 19 0.025641 0.160076
3581 27 19 0.173913 0.145195
3582 4 6 -0.2 0.309839
3583 4 5 -0.111111 0.331269
3588 29 21 0.16 0.139599
3589 27 27 0 0.136083
3590 20 24 -0.0909091 0.150131
3591 22 32 -0.185185 0.133729
3592 27 19 0.173913 0.145195
3593 15 24 -0.230769 0.155806
3594 16 18 -0.0588235 0.171202
3595 25 21 0.0869565 0.146883
3596 5 4 0.111111 0.331269
3671 7 12 -0.263158 0.221329
3672 12 14 -0.0769231 0.195535
3673 23 17 0.15 0.156325
3694 12 12 0 0.204124
3695 12 16 -0.142857 0.187044
3696 2 3 -0.2 0.438178
3697 24 21 0.0666667 0.14874
3698 3 3 0 0.408248
3701 9 19 -0.357143 0.176519
3702 32 30 0.0322581 0.126934
3703 29 30 -0.0169492 0.13017
3704 55 40 0.157895 0.101311
3705 20 23 -0.0697674 0.152127
3706 3 2 0.2 0.438178
3708 6 10 -0.25 0.242061
3709 18 25 -0.162791 0.150464
3710 21 25 -0.0869565 0.146883
3711 23 20 0.0697674 0.152127
3712 29 15 0.318182 0.142921
3713 26 30 -0.0714286 0.133289
3714 34 36 -0.0285714 0.119474
3715 45 36 0.111111 0.110423
3716 20 20 0 0.158114
3717 31 33 -0.03125 0.124939
3718 8 11 -0.157895 0.226538
3719 33 25 0.137931 0.130051
3720 4 3 0.142857 0.374088
3721 4 2 0.333333 0.3849
3722 14 21 -0.2 0.165616
3723 9 10 -0.0526316 0.229098
3729 16 19 -0.0857143 0.168409
3730 5 9 -0.285714 0.25612
3731 29 20 0.183673 0.140427
3732 25 34 -0.152542 0.128665
