1.439895	18913.474303	-3.000000
1.640697	18913.497099	-1.000000
1.837262	18913.501812	-2.000000
2.038702	18913.565654	-3.000000
2.233383	18913.519850	-2.000000
2.439909	18913.570843	-4.000000
2.633458	18913.572668	-3.000000
2.837690	18913.549543	-3.000000
3.038684	18913.592355	-1.000000
3.240323	18913.652750	-2.000000
3.438373	18913.625377	-2.000000
3.636549	18913.607951	-1.000000
3.836392	18913.583223	-1.000000
4.040186	18913.619510	-2.000000
4.239645	18913.634171	-1.000000
4.437629	18913.615210	-1.000000
4.639956	18913.625218	-3.000000
4.842799	18913.613619	-3.000000
5.040857	18913.651152	-3.000000
5.244482	18913.535329	0.000000
5.444377	18913.571388	-3.000000
5.644205	18913.597935	-3.000000
5.843371	18913.544534	-2.000000
6.044316	18913.522236	-3.000000
6.252428	18913.587981	-4.000000
6.443628	18913.579802	-2.000000
6.645308	18913.607955	-3.000000
6.852760	18913.632415	-2.000000
7.048216	18913.660104	-3.000000
7.252067	18913.687164	-2.000000
7.447520	18913.682410	0.000000
7.648757	18913.603970	1.000000
7.855647	18913.573063	0.000000
8.048754	18913.481546	1.000000
8.245542	18913.488545	-2.000000
8.446370	18913.525007	-2.000000
8.646069	18913.537145	-3.000000
8.850124	18913.545292	-3.000000
9.066947	18913.536290	0.000000
9.248539	18913.514130	0.000000
9.449252	18913.669372	-3.000000
9.648783	18913.663246	0.000000
9.847438	18913.583327	0.000000
10.066827	18913.632358	-3.000000
10.251563	18913.597467	0.000000
10.451648	18913.560637	-3.000000
10.659657	18913.557736	-2.000000
10.851897	18913.674214	-6.000000
11.065707	18913.706494	-2.000000
11.263697	18913.746508	-3.000000
11.475335	18913.705186	-2.000000
11.678617	18913.660971	-2.000000
11.861115	18913.538078	1.000000
12.059746	18913.517739	-1.000000
12.259924	18913.542147	-1.000000
12.458673	18913.575813	-1.000000
12.658926	18913.544902	0.000000
12.863498	18913.586405	-2.000000
13.059909	18913.554679	0.000000
13.274208	18913.587612	-2.000000
13.462452	18913.573389	-2.000000
13.665659	18913.524027	-2.000000
13.878606	18913.615436	-5.000000
14.063676	18913.624194	-3.000000
14.265705	18913.614175	-4.000000
15.113834	18913.275326	0.000000
15.258322	18913.580287	-11.000000
15.435331	18913.583418	-3.000000
15.634480	18913.554436	-3.000000
15.833794	18913.487837	-1.000000
16.036210	18907.611778	72.000000
16.241289	18870.073596	738.000000
16.436373	18853.929722	175.000000
16.641512	18859.827186	-109.000000
16.836364	18858.438250	34.000000
17.056031	18858.443678	-8.000000
17.236960	18858.691404	-2.000000
17.438047	18858.552864	1.000000
18.211515	18858.615758	-4.000000
18.355158	18858.619965	-1.000000
18.534625	18858.514122	2.000000
18.735386	18858.512695	-4.000000
18.937519	18858.590496	-2.000000
19.134820	18858.562695	-2.000000
19.354887	18858.544359	-1.000000
19.534759	18858.561204	-2.000000
19.735398	18858.566700	-2.000000
19.932776	18858.452597	0.000000
20.133516	18858.515806	-4.000000
20.336589	18858.525917	-3.000000
20.533619	18858.482295	-2.000000
20.733475	18858.532968	-3.000000
20.942488	18858.617863	-3.000000
21.136713	18858.606106	-1.000000
21.334435	18858.624381	-2.000000
21.552079	18858.593860	-2.000000
21.734447	18858.614690	-3.000000
21.935707	18858.550390	0.000000
22.135003	18858.533717	-3.000000
22.338476	18858.467703	0.000000
22.535552	18858.511627	-3.000000
22.751182	18858.539649	-2.000000
22.934434	18858.513421	-1.000000
23.154685	18858.453206	-2.000000
23.334075	18858.505437	-4.000000
23.536567	18858.579666	-4.000000
23.756152	18858.583351	-3.000000
23.936278	18858.541222	0.000000
24.136429	18858.598677	-3.000000
24.338025	18858.588096	-2.000000
25.336563	18858.548636	-12.000000
25.485847	18858.764334	-8.000000
25.661756	18858.727292	0.000000
25.862115	18858.771410	-2.000000
26.059282	18858.689202	0.000000
26.260289	18858.677654	-2.000000
26.459363	18858.727559	-1.000000
26.659154	18861.447750	1.000000
26.862886	18913.264295	-1085.000000
27.061766	18918.216871	144.000000
27.263927	18909.311997	74.000000
27.482436	18913.403244	-68.000000
28.234440	18912.373921	0.000000
28.381836	18912.343452	-3.000000
28.559444	18912.286248	0.000000
28.771345	18912.345457	-4.000000
28.970676	18912.293520	0.000000
29.154994	18912.215620	0.000000
29.355547	18912.260418	-4.000000
29.557849	18912.260830	-3.000000
29.757916	18912.262951	0.000000
29.958195	18912.232845	0.000000
30.157560	18912.296853	-2.000000
30.358505	18912.216782	0.000000
30.558366	18912.118209	0.000000
30.759174	18912.079463	-2.000000
30.973858	18912.024863	-2.000000
31.161056	18911.954183	-2.000000
31.363495	18911.920366	-2.000000
31.561348	18911.929810	-2.000000
31.760901	18911.922684	0.000000
31.976020	18911.999194	-4.000000
32.164267	18912.051746	-2.000000
32.374018	18912.195070	-6.000000
32.564083	18912.143528	0.000000
32.764487	18912.016787	-2.000000
32.968787	18912.042638	-4.000000
33.165461	18912.026235	-2.000000
33.363786	18911.964962	-2.000000
33.565752	18911.996283	-2.000000
33.765118	18911.951292	0.000000
33.968217	18911.999050	-3.000000
34.167822	18912.069346	-4.000000
34.373310	18912.157395	-5.000000
35.369226	18912.056513	-6.000000
35.516653	18912.132456	-3.000000
35.694510	18912.157154	-2.000000
35.894756	18912.090677	-1.000000
36.113978	18911.966868	-1.000000
36.294640	18906.246410	82.000000
36.496285	18869.683530	713.000000
36.694914	18854.824159	145.000000
36.896655	18860.557614	-103.000000
37.092834	18859.219980	35.000000
37.292037	18859.130628	-6.000000
37.495814	18859.424213	-3.000000
38.256721	18859.381318	-3.000000
38.403760	18859.352451	-1.000000
38.583420	18859.278435	0.000000
38.780562	18859.291402	-1.000000
38.981699	18859.282767	0.000000
39.184844	18859.304484	-3.000000
39.386209	18859.360513	-2.000000
39.585361	18859.306789	-1.000000
39.784586	18859.389747	-4.000000
39.983251	18859.316760	0.000000
40.184007	18859.275600	0.000000
40.388534	18859.289042	0.000000
40.584194	18859.178922	1.000000
40.785444	18859.229807	-2.000000
40.982015	18859.276654	-2.000000
41.183726	18859.284715	-1.000000
41.386353	18859.359771	-3.000000
41.587486	18859.316464	0.000000
41.787403	18859.331091	-3.000000
41.988200	18859.384979	-2.000000
42.204265	18859.345687	-2.000000
42.385054	18859.310339	-3.000000
42.585355	18859.354109	-4.000000
42.785334	18859.404157	-3.000000
42.986866	18859.419307	-2.000000
43.186370	18859.360602	0.000000
43.394358	18859.289081	0.000000
43.597883	18859.303141	-1.000000
43.787063	18859.338544	0.000000
43.986301	18859.340933	0.000000
44.187550	18859.397637	-4.000000
44.391960	18859.438451	-3.000000
45.396707	18859.376835	-2.000000
45.533617	18859.384430	0.000000
45.724209	18859.410425	-2.000000
45.922850	18859.351348	0.000000
46.128717	18859.391015	-3.000000
46.323771	18859.416189	-2.000000
46.525129	18859.412308	-3.000000
46.725427	18863.802509	-6.000000
46.936330	18916.135457	-1099.000000
47.147353	18915.519562	226.000000
47.324767	18908.499958	48.000000
47.524882	18912.452262	-60.000000
48.294227	18911.223980	2.000000
48.443375	18911.164232	0.000000
48.639773	18911.286012	-6.000000
48.842115	18911.206368	-1.000000
49.022119	18911.254369	-2.000000
49.227484	18911.266625	-1.000000
49.440202	18911.231683	-2.000000
49.648821	18911.171486	0.000000
49.825153	18911.187320	0.000000
50.026583	18911.143609	0.000000
50.224675	18911.176433	-2.000000
50.425253	18911.156202	0.000000
50.634307	18911.200960	-2.000000
50.827764	18911.205178	-2.000000
51.029566	18911.131778	0.000000
51.238577	18911.164331	-3.000000
51.430330	18911.189819	-3.000000
51.636676	18911.126924	-2.000000
51.828714	18911.117291	-3.000000
52.028702	18911.061387	-1.000000
52.238930	18911.124807	-4.000000
52.434838	18911.093113	0.000000
52.632937	18911.077761	-3.000000
52.835538	18910.998212	-1.000000
53.038123	18911.020189	-3.000000
53.242689	18910.993437	0.000000
53.434707	18910.980635	-2.000000
53.635771	18910.970378	-3.000000
53.834858	18910.882476	-1.000000
54.034204	18910.798336	0.000000
54.234659	18910.739516	-1.000000
54.434301	18910.659410	0.000000
54.633176	18910.658883	-1.000000
54.837531	18910.828848	-4.000000
55.035041	18910.767582	1.000000
55.234515	18910.762844	0.000000
55.434640	18910.874707	-3.000000
55.634304	18910.793399	0.000000
55.836913	18910.727041	-1.000000
56.036520	18910.738802	0.000000
56.237405	18910.808926	-2.000000
56.453628	18910.777414	-3.000000
56.640373	18910.812936	-1.000000
56.836869	18910.699257	1.000000
57.057067	18910.746450	-3.000000
57.240275	18910.724956	-1.000000
57.440666	18910.630642	-1.000000
57.657446	18910.689530	-4.000000
57.839930	18910.703288	-3.000000
58.048474	18910.747321	-3.000000
58.257286	18910.732245	-3.000000
58.441946	18910.786970	-2.000000
58.643113	18910.749627	0.000000
58.842262	18910.782973	-3.000000
59.063782	18910.833428	-4.000000
59.245321	18910.743857	-1.000000
59.443268	18910.764094	-4.000000
59.648088	18910.796192	-1.000000
59.844617	18910.822286	-2.000000
