#run  N_plus  N_minus  A_raw  dA_stat
3163 234 183 0.122302 5.70762e-06
2622 261 276 -0.027933 3.46643e-06
3136 186 177 0.0247934 7.58671e-06
3222 355 312 0.0644678 2.24308e-06
2681 343 334 0.0132939 2.18165e-06
3195 247 232 0.0313152 4.35628e-06
3138 118 103 0.0678733 2.04274e-05
3224 52 49 0.029703 9.79864e-05
2683 203 202 0.00246914 6.09661e-06
3197 207 167 0.106952 7.10818e-06
3139 55 43 0.122449 0.00010334
3225 232 247 -0.0313152 4.35628e-06
2684 329 259 0.119048 2.87174e-06
3198 201 215 -0.0336538 5.7752e-06
3191 191 157 0.0977011 8.21786e-06
2650 406 406 0 1.51666e-06
2623 171 153 0.0555556 9.51127e-06
3164 197 182 0.0395778 6.95635e-06
3192 201 177 0.0634921 6.98456e-06
2651 370 349 0.0292072 1.93356e-06
2624 319 328 -0.0139104 2.38863e-06
3165 102 124 -0.0973451 1.94857e-05
3201 260 225 0.0721649 4.24016e-06
2660 343 362 -0.0269504 2.01124e-06
2633 287 318 -0.0512397 2.72846e-06
3174 179 173 0.0170455 8.06959e-06
3202 248 222 0.0553191 4.52e-06
2661 299 298 0.00167504 2.80576e-06
3203 32 29 0.0491803 0.00026842
2662 123 139 -0.0610687 1.45407e-05
2635 564 507 0.0532213 8.70573e-07
3176 202 199 0.0074813 6.21869e-06
2667 379 375 0.00530504 1.75894e-06
3181 23 26 -0.0612245 0.000415712
2668 404 385 0.0240811 1.60591e-06
3182 193 179 0.0376344 7.22115e-06
2669 407 443 -0.0423529 1.38284e-06
3183 184 185 -0.00271003 7.34422e-06
2670 406 392 0.0175439 1.5701e-06
3184 148 146 0.00680272 1.1569e-05
3212 28 27 0.0181818 0.000330524
2671 400 369 0.0403121 1.68964e-06
3185 177 158 0.0567164 8.89633e-06
2695 431 381 0.0615764 1.51378e-06
3004 240 229 0.0234542 4.54501e-06
3005 172 158 0.0424242 9.17447e-06
3006 85 83 0.0119048 3.54283e-05
3007 220 184 0.0891089 6.10248e-06
3008 89 109 -0.10101 2.53771e-05
3009 72 56 0.125 6.05564e-05
3011 112 125 -0.0548523 1.77766e-05
3013 68 76 -0.0555556 4.81508e-05
3014 113 118 -0.021645 1.87359e-05
3016 87 96 -0.0491803 2.98244e-05
3017 68 69 -0.00729927 5.32779e-05
3018 74 103 -0.163842 3.1488e-05
3019 59 73 -0.106061 5.70684e-05
3028 163 154 0.0283912 9.94733e-06
3029 62 57 0.0420168 7.05541e-05
3030 126 138 -0.0454545 1.43332e-05
3035 228 231 -0.00653595 4.74641e-06
3036 168 175 -0.0204082 8.49809e-06
3037 44 46 -0.0222222 0.000123426
3038 283 250 0.0619137 3.51327e-06
3039 60 58 0.0169492 7.18081e-05
3043 242 227 0.0319829 4.54393e-06
3045 278 244 0.0651341 3.66215e-06
3046 116 108 0.0357143 1.99171e-05
3047 40 35 0.0666667 0.000177382
3048 260 206 0.11588 4.57396e-06
3049 301 276 0.0433276 3.00082e-06
3050 266 267 -0.00187617 3.52002e-06
3051 217 224 -0.015873 5.14124e-06
3052 140 144 -0.0140845 1.23971e-05
3054 71 68 0.0215827 5.17451e-05
3055 68 70 -0.0144928 5.25045e-05
3058 151 128 0.0824373 1.2803e-05
3059 110 130 -0.0833333 1.73007e-05
3061 90 87 0.0169492 3.19147e-05
3062 96 92 0.0212766 2.82869e-05
3063 132 126 0.0232558 1.50191e-05
3064 152 140 0.0410959 1.17184e-05
3065 114 91 0.112195 2.36451e-05
3068 114 141 -0.105882 1.52923e-05
3069 33 45 -0.153846 0.000162409
3075 105 80 0.135135 2.89504e-05
3076 79 94 -0.0867052 3.32866e-05
3077 243 246 -0.00613497 4.1819e-06
3079 230 220 0.0222222 4.93705e-06
3080 109 118 -0.0396476 1.93913e-05
3082 178 175 0.00849858 8.02481e-06
3089 248 216 0.0689655 4.63371e-06
3090 166 134 0.106667 1.10477e-05
3091 185 184 0.00271003 7.34422e-06
3092 248 209 0.0853392 4.77068e-06
3093 88 89 -0.00564972 3.19188e-05
3108 169 134 0.115512 1.08193e-05
3109 158 144 0.0463576 1.09526e-05
3110 168 141 0.0873786 1.04332e-05
3111 43 45 -0.0227273 0.000129099
3112 163 203 -0.10929 7.42042e-06
3113 144 130 0.0510949 1.33024e-05
3114 187 147 0.11976 8.89959e-06
3115 165 159 0.0185185 9.52435e-06
3116 133 127 0.0230769 1.4789e-05
3117 131 108 0.0962343 1.74254e-05
3118 110 120 -0.0434783 1.88857e-05
3119 117 107 0.0446429 1.991e-05
3120 113 138 -0.0996016 1.57938e-05
3121 88 65 0.150327 4.22332e-05
3122 156 139 0.0576271 1.14719e-05
3123 156 167 -0.0340557 9.5795e-06
3124 112 110 0.00900901 2.02897e-05
3126 179 131 0.154839 1.02803e-05
3150 8 20 -0.428571 0.00115243
2617 314 309 0.00802568 2.57638e-06
3158 16 17 -0.030303 0.000917852
2618 427 421 0.00707547 1.39058e-06
