#run A_phys dA_stat
3510 -0.00946864 3.14966
3512 -1.4936 2.42358
3514 4.44204 0
3515 4.44061 0
3517 -1.91618 1.51932
3518 0.484633 1.47308
3519 1.89539 1.07326
3520 -1.12013 1.52086
3521 1.471 1.70947
3523 4.43107 0
3524 -1.27733 1.13657
3525 2.20821 1.35802
3526 -1.48726 2.4133
3552 -0.00906231 2.13157
3553 -0.744444 1.25537
3554 1.49241 2.45274
3555 1.50377 1.42687
3556 0.497711 1.51283
3557 0.908138 1.422
3558 1.83312 1.33532
3559 -3.08364 1.40301
3560 -1.15958 1.57443
3561 -0.0097641 1.45253
3562 -0.00968426 1.21757
3563 -4.54895 0
3578 -0.922311 1.99943
3579 -0.00973223 1.02374
3580 -0.92938 1.42465
3581 -0.00982672 1.46184
3582 0.907314 2.00918
3588 1.72748 1.15627
3589 -1.15857 1.11232
3590 1.55046 1.04028
3591 0.820735 1.12382
3592 1.55542 1.80757
3593 0.415816 1.40628
3594 1.78608 1.1955
3595 -1.8735 1.3503
3596 -3.33219 1.23034
3671 1.40124 2.3029
3672 1.0613 1.46571
3673 1.09464 1.51175
3694 -2.02503 1.7463
3695 0.806744 1.78648
3696 -4.14107 0
3697 2.46783 1.47676
3698 4.11093 0
3701 -0.832438 1.27605
3702 1.51608 0.882748
3703 0.966284 1.14049
3704 0.466052 1.00169
3705 0.468145 1.42296
3706 4.29594 0
3708 -1.43419 2.32718
3709 1.2028 1.0863
3710 1.22954 0.976111
3711 -0.856282 1.3126
3712 1.7173 1.25095
3713 -0.552344 1.07769
3714 1.84433 1.04435
3715 -0.262854 1.04417
3716 -0.548235 1.06968
3717 0.380901 0.910894
3718 -0.00899928 1.72832
3719 0.375253 1.26909
3721 4.1894 0
3722 1.36278 1.11985
3723 0.447813 1.36116
3729 -0.536959 1.04768
3730 2.05258 1.78517
3731 1.39109 2.28623
3732 -0.6208 1.6018
3733 2.13113 1.8535
3734 0.600989 1.12963
3737 0.842372 1.86537
3738 4.2476 0
3739 1.05726 1.03247
3740 -0.259791 1.032
3741 0.598346 1.12466
3742 -0.00899923 2.11674
3748 -0.958903 1.11112
3749 3.2223 0.870381
3750 -0.00882792 2.07644
3752 3.13044 0.978862
3753 2.09729 1.2898
3754 2.8066 1.28513
3755 1.15329 1.23631
3756 -1.44025 1.04515
3758 -1.45362 1.3618
3759 -1.09324 1.48436
3761 0.713726 1.23467
