cointime_bin_low_edge,Asymmetry_percent,Error_percent
70.000000,0.000000,0.000000
80.000000,1.276596,3.261375
90.000000,-1.160862,2.879367
100.000000,1.636661,2.860265
110.000000,5.287239,0.712016
120.000000,3.173674,0.764826
130.000000,1.133787,2.749110
140.000000,-1.487314,2.957528
150.000000,6.497890,2.898825
160.000000,3.577818,2.988828
170.000000,0.000000,0.000000
180.000000,0.000000,0.000000
