#run N+ N- A_raw_p dA_raw_p
2033 117 122 -0.0209205 0.0646705
2035 238 239 -0.00209644 0.0457868
2042 1847 1833 0.00380435 0.0164844
2046 335 356 -0.0303907 0.0380242
2131 252 236 0.0327869 0.0452435
2141 768 743 0.0165453 0.0257222
2143 304 258 0.0818505 0.0420409
2146 888 860 0.0160183 0.0239152
2164 4185 4181 0.000478126 0.010933
2165 1466 1481 -0.00508992 0.0184206
2168 5105 5216 -0.0107548 0.00984269
2169 66 59 0.056 0.0893024
2170 4403 4303 0.0114863 0.0107167
2171 1055 995 0.0292683 0.0220768
2172 3692 3708 -0.00216216 0.0116247
2173 2314 2364 -0.0106883 0.0146199
2174 2650 2613 0.00703021 0.0137839
2175 3142 3014 0.0207927 0.0127426
2176 1032 1009 0.011269 0.0221335
2199 2457 2332 0.0261015 0.0144454
2200 3400 3422 -0.00322486 0.0121071
2201 1019 1051 -0.0154589 0.0219767
2203 3168 3045 0.0197972 0.0126842
2204 3162 3061 0.0162301 0.0126749
2206 2689 2689 0 0.0136361
2208 1220 1263 -0.0173178 0.0200653
2209 2880 3004 -0.0210741 0.0130337
2210 3570 3610 -0.00557103 0.0118013
2211 166 159 0.0215385 0.0554572
2212 4763 4774 -0.0011534 0.0102399
2213 3534 3754 -0.0301866 0.0117084
2214 3582 3640 -0.00803102 0.0117668
2215 1507 1481 0.00870147 0.0182934
2216 4241 4218 0.002719 0.0108727
2217 4073 3840 0.0294452 0.0112368
2218 162 186 -0.0689655 0.053478
2219 5078 4968 0.0109496 0.00997648
2220 1607 1578 0.00910518 0.0177185
2221 3431 3302 0.0191594 0.0121847
2222 3604 3593 0.00152841 0.0117876
2223 2892 2908 -0.00275862 0.0131306
2224 3614 3816 -0.0271871 0.011597
2225 2124 2090 0.00806834 0.0154042
2226 3062 3128 -0.0106624 0.0127095
2227 293 326 -0.0533118 0.0401362
2228 5998 5801 0.0166963 0.00920485
2229 5391 5438 -0.0043402 0.00960952
2230 2969 3014 -0.00752131 0.0129279
2231 3206 3155 0.00801761 0.0125379
2232 3456 3452 0.000579039 0.0120316
2233 3169 3216 -0.007361 0.0125143
2234 3466 3350 0.0170188 0.0121108
2235 1509 1414 0.0325009 0.0184866
2236 3326 3487 -0.0236313 0.0121118
2237 4328 4323 0.000577968 0.0107514
2238 2933 3012 -0.0132885 0.0129684
2239 3603 3511 0.0129322 0.0118551
2240 2371 2368 0.000633045 0.0145264
2241 2951 2946 0.000847889 0.0130222
2242 2980 2993 -0.00217646 0.0129391
2243 918 862 0.0314607 0.0236905
2244 3412 3395 0.00249743 0.0121205
2245 2323 2198 0.0276488 0.0148668
2246 2944 2899 0.00770152 0.0130819
2247 423 394 0.0354957 0.0349635
2248 1393 1409 -0.00571021 0.0188912
2250 2336 2370 -0.00722482 0.0145768
2251 117 127 -0.0409836 0.0639647
2252 3734 3638 0.0130222 0.0116458
2253 3329 3183 0.0224201 0.0123889
2254 3048 3042 0.000985222 0.0128142
2255 3530 3418 0.0161197 0.0119954
2256 3573 3620 -0.00653413 0.0117906
2257 2915 2953 -0.0064758 0.0130541
2258 3518 3499 0.00270771 0.0119378
2259 3443 3541 -0.0140321 0.0119648
2260 1245 1268 -0.00915241 0.0199474
2275 657 708 -0.0373626 0.0270477
2276 1852 1846 0.0016225 0.0164443
2302 265 213 0.108787 0.0454675
2303 3495 3499 -0.000571919 0.0119574
2304 4153 4082 0.00862174 0.0110193
2305 2452 2456 -0.000814996 0.0142741
2306 830 813 0.0103469 0.0246694
2307 2041 2058 -0.00414735 0.0156191
2309 2655 2643 0.00226501 0.0137386
2310 724 697 0.0190007 0.0265231
2313 2663 2734 -0.0131555 0.0136109
2314 2553 2590 -0.00719424 0.0139438
2316 3783 3664 0.0159796 0.0115865
2318 3968 3908 0.00761808 0.0112677
2319 3519 3478 0.00585965 0.0119546
2320 678 638 0.0303951 0.0275532
2321 2976 2960 0.00269542 0.0129793
2322 3017 2992 0.00416043 0.0129002
2323 2452 2384 0.0140612 0.0143785
