#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
2033 37 48 -0.129412 0.107553 84.089 0.181 -1 -1
2035 60 55 0.0434783 0.0931623 84.089 0.181 -1 -1
2042 518 521 -0.00288739 0.0310235 84.089 0.181 -1 -1
2046 94 107 -0.0646766 0.0703869 84.089 0.181 -1 -1
2131 80 60 0.142857 0.0836486 84.089 0.181 38.0589 0.355797
2141 242 200 0.0950226 0.0473499 84.089 0.181 40.2473 0.312809
2143 91 90 0.00552486 0.0743283 84.089 0.181 40.2304 0.31887
2146 262 262 0 0.0436852 84.089 0.181 40.1742 0.324078
2164 1482 1402 0.0277393 0.0186138 84.089 0.181 32.7409 0.267678
2165 469 437 0.0353201 0.033202 84.089 0.181 33.3767 0.279255
2168 1816 1620 0.0570431 0.017032 84.089 0.181 34.3487 0.285411
2169 21 15 0.166667 0.164336 84.089 0.181 34.9554 0.656646
2170 1494 1338 0.0550847 0.0187626 84.089 0.181 35.4688 0.299157
2171 361 348 0.0183357 0.0375495 84.089 0.181 36.0767 0.302775
2172 1218 1147 0.0300211 0.0205536 84.089 0.181 36.9976 0.351222
2173 714 672 0.030303 0.0268484 84.089 0.181 38.7844 0.452016
2174 954 825 0.0725126 0.0236465 84.089 0.181 39.8768 0.403889
2175 1052 973 0.0390123 0.0222053 84.089 0.181 40.4856 0.411146
2176 336 305 0.0483619 0.0394514 84.089 0.181 40.6713 0.438448
2199 801 727 0.0484293 0.0255522 84.089 0.181 37.5829 0.319261
2200 1100 1097 0.0013655 0.0213346 84.089 0.181 38.1847 0.285331
2201 350 330 0.0294118 0.0383317 84.089 0.181 38.5921 0.283109
2203 1025 956 0.0348309 0.022454 84.089 0.181 38.2846 0.307564
2204 1102 1022 0.0376648 0.0216828 84.089 0.181 37.6147 0.274783
2206 878 789 0.0533893 0.0244575 84.089 0.181 36.8385 0.322581
2208 423 400 0.0279465 0.0348442 84.089 0.181 36.0223 0.363797
2209 963 875 0.0478781 0.0232986 84.089 0.181 34.2957 0.30622
2210 1181 1100 0.0355107 0.0209249 84.089 0.181 34.6306 0.322546
2211 60 48 0.111111 0.0956292 84.089 0.181 34.8961 0.336461
2212 1640 1430 0.0684039 0.0180058 84.089 0.181 35.2368 0.35533
2213 1293 1115 0.0739203 0.0203227 84.089 0.181 35.9985 0.367781
2214 1233 1114 0.050703 0.0206151 84.089 0.181 36.7405 0.387151
2215 537 476 0.0602172 0.0313622 84.089 0.181 37.2403 0.32832
2216 1431 1314 0.042623 0.0190693 84.089 0.181 36.8488 0.323573
2217 1335 1268 0.0257395 0.0195938 84.089 0.181 35.919 0.239064
2218 58 67 -0.072 0.0892106 84.089 0.181 35.4592 0.213215
2219 1738 1516 0.0682237 0.0174895 84.089 0.181 35.403 0.138173
2220 534 422 0.117155 0.0321196 84.089 0.181 35.4004 0.151469
2221 1116 1030 0.0400746 0.0215693 84.089 0.181 35.3945 0.140017
2222 1189 1131 0.025 0.0207549 84.089 0.181 35.3924 0.128694
2223 978 833 0.0800663 0.0234231 84.089 0.181 35.3904 0.142169
2224 1251 1137 0.0477387 0.0204403 84.089 0.181 35.3884 0.138439
2225 707 619 0.066365 0.0274012 84.089 0.181 35.3856 0.157669
2226 988 954 0.0175077 0.0226887 84.089 0.181 35.3834 0.144057
2227 84 79 0.0306748 0.0782892 84.089 0.181 35.3818 0.237075
2228 1927 1798 0.0346309 0.0163748 84.089 0.181 35.3776 0.136753
2229 1899 1727 0.0474352 0.0165881 84.089 0.181 35.3743 0.125219
2230 988 960 0.0143737 0.0226548 84.089 0.181 35.3721 0.1302
2231 1101 994 0.051074 0.0218193 84.089 0.181 35.37 0.129006
2232 1142 1069 0.0330167 0.0212554 84.089 0.181 35.3681 0.132037
2233 1056 962 0.0465808 0.0222366 84.089 0.181 35.3661 0.127971
2234 1160 1074 0.038496 0.0211415 84.089 0.181 35.6788 0.231157
2235 548 459 0.0883813 0.0313894 84.089 0.181 35.3959 0.243285
2236 1167 1066 0.0452306 0.0211403 84.089 0.181 35.5225 0.346057
2237 1439 1398 0.0144519 0.0187726 84.089 0.181 35.5002 0.382397
2238 1038 817 0.119137 0.0230528 84.089 0.181 35.3663 0.430671
2239 1191 1097 0.0410839 0.0208884 84.089 0.181 35.2166 0.403854
2240 748 716 0.0218579 0.0261292 84.089 0.181 35.0821 0.408947
2241 1019 895 0.0647858 0.0228095 84.089 0.181 35.4902 0.374973
2242 990 901 0.047065 0.0229706 84.089 0.181 36.3743 0.394492
2243 273 288 -0.026738 0.0422049 84.089 0.181 37.0169 0.424081
2244 1123 1006 0.0549554 0.0216399 84.089 0.181 38.1315 0.342863
2245 759 673 0.0600559 0.0263781 84.089 0.181 38.8969 0.37687
2246 976 855 0.0660841 0.0233188 84.089 0.181 39.9505 0.346303
2247 130 123 0.027668 0.0628454 84.089 0.181 40.0689 0.366977
2248 453 465 -0.0130719 0.0330021 84.089 0.181 38.4056 0.326646
2250 803 697 0.0706667 0.0257553 84.089 0.181 36.2092 0.262548
2251 45 41 0.0465116 0.107716 84.089 0.181 36.2129 0.25022
2252 1184 1123 0.0264413 0.0208125 84.089 0.181 36.2189 0.302665
2253 1035 946 0.0449268 0.022445 84.089 0.181 36.2277 0.326228
2254 976 917 0.0311675 0.0229728 84.089 0.181 36.2497 0.410307
2255 1110 1042 0.0315985 0.0215458 84.089 0.181 36.2204 0.425934
2256 1160 1078 0.0366399 0.0211241 84.089 0.181 36.3768 0.438504
2257 926 902 0.0131291 0.023387 84.089 0.181 36.5979 0.449258
2258 1201 1141 0.0256191 0.0206568 84.089 0.181 37.5045 0.387812
2259 1192 1077 0.0506831 0.0209664 84.089 0.181 37.7178 0.373781
2260 381 360 0.0283401 0.0367212 84.089 0.181 37.8602 0.402513
2275 249 206 0.0945055 0.0466709 84.089 0.181 40.4511 0.330192
2276 584 576 0.00689655 0.0293603 84.089 0.181 40.5629 0.35452
2302 63 82 -0.131034 0.0823294 84.089 0.181 22.5578 0.315985
2303 1165 1092 0.0323438 0.0210381 84.089 0.181 21.7761 0.159309
2304 1389 1223 0.0635528 0.019527 84.089 0.181 21.3669 0.138596
2305 772 692 0.0546448 0.0260964 84.089 0.181 20.3668 0.147526
2306 243 238 0.010395 0.0455936 84.089 0.181 20.0359 0.174821
2307 660 612 0.0377358 0.0280186 84.089 0.181 23.5347 0.19269
2309 853 806 0.0283303 0.0245416 84.089 0.181 27.0959 0.205885
2310 221 199 0.052381 0.048728 84.089 0.181 28.1404 0.176816
2313 865 799 0.0396635 0.0244952 84.089 0.181 30.5752 0.205019
2314 875 799 0.0454002 0.024416 84.089 0.181 30.9054 0.218692
2316 1233 1124 0.0462452 0.0205757 84.089 0.181 31.7832 0.209967
2318 1311 1220 0.0359542 0.0198643 84.089 0.181 32.2349 0.193084
2319 1179 1008 0.0781893 0.0213179 84.089 0.181 32.6778 0.213598
2320 186 181 0.013624 0.0521947 84.089 0.181 32.7294 0.236725
2321 977 907 0.037155 0.0230229 84.089 0.181 32.1398 0.253516
2322 952 907 0.0242066 0.0231864 84.089 0.181 31.71 0.280371
2323 764 748 0.010582 0.0257158 84.089 0.181 31.3564 0.29608
