#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5463 4 5 -0.111111 0.331269 80.795 0.0323333 39.3626 0.0166667
5464 5 6 -0.0909091 0.300263 80.795 0.0292466 39.5016 0.0150756
5465 3 1 0.5 0.433013 80.795 0.0485 39.572 0.025
5466 4 1 0.6 0.357771 80.795 0.0433797 39.5385 0.0223607
5467 4 3 0.142857 0.374088 80.795 0.0366626 39.4237 0.0188982
5468 4 5 -0.111111 0.331269 80.795 0.0323333 39.2583 0.0166667
5469 7 5 0.166667 0.284638 80.795 0.0280015 39.0903 0.0144338
5470 4 10 -0.428571 0.241473 80.795 0.0259243 39.0184 0.0133631
5471 5 4 0.111111 0.331269 80.795 0.0323333 38.9102 0.0166667
5472 11 9 0.1 0.222486 80.795 0.0216899 38.726 0.0111803
5476 11 2 0.692308 0.200137 80.795 0.026903 38.6135 0.0138675
5477 11 6 0.294118 0.231808 80.795 0.023526 38.7045 0.0121268
5478 4 1 0.6 0.357771 80.795 0.0433797 38.752 0.0223607
5479 1 2 -0.333333 0.544331 80.795 0.056003 38.7366 0.0288675
5480 3 9 -0.5 0.25 80.795 0.0280015 38.6133 0.0144338
5481 14 4 0.555556 0.195982 80.795 0.0228631 38.379 0.0117851
5482 2 1 0.333333 0.544331 80.795 0.056003 38.2255 0.0288675
5483 10 10 0 0.223607 80.795 0.0216899 37.3549 0.0111803
5484 7 9 -0.125 0.248039 80.795 0.02425 35.522 0.0125
5485 4 4 0 0.353553 80.795 0.0342947 34.2956 0.0176777
5486 5 3 0.25 0.342327 80.795 0.0342947 -1 0.0176777
5494 3 3 0 0.408248 80.795 0.0396001 37.8047 0.0204124
5495 4 6 -0.2 0.309839 80.795 0.0306741 38.05 0.0158114
5496 1 4 -0.6 0.357771 80.795 0.0433797 38.2838 0.0223607
5497 0 2 -1 0 80.795 0.0685894 38.4127 0.0353553
5499 3 1 0.5 0.433013 80.795 0.0485 38.4814 0.025
5501 3 5 -0.25 0.342327 80.795 0.0342947 38.6978 0.0176777
5502 8 7 0.0666667 0.257624 80.795 0.0250453 38.8843 0.0129099
5503 3 4 -0.142857 0.374088 80.795 0.0366626 42.3966 0.0188982
5504 5 2 0.428571 0.341494 80.795 0.0366626 50.4311 0.0188982
5505 13 7 0.3 0.213307 80.795 0.0216899 55.7436 0.0111803
5506 11 5 0.375 0.231756 80.795 0.02425 37.404 0.0125
5507 8 5 0.230769 0.269864 80.795 0.026903 37.7073 0.0138675
5508 9 12 -0.142857 0.21598 80.795 0.0211671 38.0232 0.0109109
5511 10 4 0.428571 0.241473 80.795 0.0259243 38.0225 0.0133631
5512 11 12 -0.0434783 0.208317 80.795 0.0202259 38.3384 0.0104257
5513 7 10 -0.176471 0.238729 80.795 0.023526 39.5586 0.0121268
5514 8 6 0.142857 0.26452 80.795 0.0259243 39.4511 0.0133631
5515 7 11 -0.222222 0.229809 80.795 0.0228631 39.3703 0.0117851
