Q2,eps_bar,tau_bar,Px_bar,Pz_bar,Lambda,dLambda_stat,dLambda_par,dLambda_tot,dLambda_used,Ap_phys,dAp_phys,Pbeam,dPbeam,PHe3,dPHe3,Pp,dPp,Ap,dAp
2.99,0.7943,0.8496,0.9906,-0.0511,0.2262692633696153,0.004043408269035706,0.004519903807370177,0.00606454292242917,0.004043408269035706,-0.10235846319021905,0.0021651617003349615,0.8409,0.0018,0.3491,0.0029,-0.03,0.00015,0.0009014449555590699,2.1064278907512767e-05
6.75,0.6157,1.9192,0.9898,-0.0366,0.10260937661963745,0.017695297002134132,0.015992611099721405,0.023851355218952854,0.017695297002134132,-0.02090613328615208,0.008191719736308029,0.8649,0.0008,0.4152,0.0072,-0.03,0.00015,0.0002252258380440272,8.83447947770288e-05
9.74,0.5752,2.767,0.9915,-0.028,0.03310041013091777,0.037182041707588924,0.03654502464750101,0.05213485448364979,0.037182041707588924,0.009064237153948707,0.015518628047064092,0.8369,0.0018,0.5178,0.0178,-0.03,0.00015,-0.00011783875039168567,0.0002017901266130446
9.8,0.5721,2.7833,0.9893,-0.0276,0.03189978800549804,0.037609005073229534,0.03703125602783897,0.05278021585402588,0.037609005073229534,0.00935472770424179,0.015636724170304747,0.808,0.001,0.3676,0.0222,-0.03,0.00015,-8.33564611948818e-05,0.00013942454000696002
