#run A_phys dA_stat
5699 -1.23116 3.59237
5700 -0.0263088 5.43536
5702 -1.00579 2.28811
5703 -2.10661 4.56017
5704 3.41735 2.81067
5705 -0.516378 2.24934
5706 1.00699 2.29597
5707 -1.9749 1.80562
5708 -1.77175 2.98253
5709 -2.74996 1.95329
5710 2.07395 2.29973
5711 -0.025363 2.61998
5712 -10.1012 0
5713 0.644871 2.58588
5714 0.613223 1.8008
5715 10.3011 0
5717 -0.407836 1.98783
5718 -0.881905 2.09195
5721 6.11078 2.11225
5722 2.67246 2.26853
5723 2.3247 1.82081
5724 -5.54484 1.3874
5725 0.784878 1.38111
5726 1.67694 1.79962
5727 3.57504 1.96024
5728 -6.00705 2.98384
5730 -1.10066 2.39095
5732 0.482811 2.32834
5733 0.601315 1.82518
5734 2.33932 2.44583
5735 -0.988938 3.18165
5736 -7.57183 2.79459
5737 2.07719 4.60664
5739 -1.74513 2.93772
5740 1.1173 1.96606
5741 -1.36247 2.12011
5742 -4.40569 3.49083
5743 3.15695 1.80981
5744 -0.0249584 2.10508
5745 0.621495 1.82509
5748 -0.57228 2.38155
5751 2.05491 4.55723
5752 2.81862 1.74638
5753 -6.27357 3.72581
5754 -0.0252377 5.21407
5755 3.45585 4.01966
5756 -0.79187 1.63165
5757 -10.58 0
5761 -3.32023 1.77043
5762 2.74967 2.33408
5763 5.23375 2.03688
5764 7.4655 1.60162
5765 -3.1982 2.07073
5768 -0.410634 2.00147
5770 1.7968 2.4645
5771 -338.668 -0
5773 -122.629 -47.6762
5778 29.1124 -48.8308
5779 -1.95883 1.97466
5781 0.927602 1.81725
5783 3.90751 2.43059
5784 -1.96497 1.98085
5785 1.82835 1.44786
5805 6.46238 1.74623
5806 -0.0202724 5.92308
5809 -0.740084 1.75554
5810 -0.0205086 3.45953
5811 -8.44796 0
5815 0.313413 1.66665
5816 1.19435 1.83681
5818 -3.54824 1.52166
5819 2.06177 1.85414
5820 -8.81785 0
5821 -0.0204472 5.97414
5828 0.21293 1.18296
5829 -1.86591 1.47954
5830 -4.80967 2.38908
5831 -4.29841 3.70461
5832 -0.0205429 2.45035
5837 -0.797771 1.81488
5838 -2.87937 3.30084
5839 0.432514 1.97342
5840 -0.366038 1.72439
5841 0.994996 1.47063
5842 8.60283 0
5844 -0.0207981 4.29685
5852 -8.50322 0
5854 -0.0205696 2.68771
5856 -1.89269 1.93623
5858 -0.464983 1.93503
5859 4.70977 1.3625
5860 1.1303 1.56227
5861 -1.15158 1.79194
5862 1.02238 1.72648
5863 1.43266 1.43344
5864 0.559967 1.58776
5865 2.1256 1.69686
5866 0.885176 1.90767
5868 -1.27734 1.38301
5869 1.27268 1.95728
5870 0.795924 1.90972
5871 2.29583 1.66145
5872 2.93351 2.41272
5873 -1.58115 2.11004
5874 2.91542 3.39106
5875 1.73297 1.71876
5877 1.16423 1.42895
5879 0.563796 2.26078
5880 -0.0212634 2.07087
5881 -0.605987 2.25972
5882 1.4877 1.60077
5883 -0.894854 1.94388
5884 -1.04977 1.48904
5885 -0.403021 1.82917
5886 -1.62231 1.84604
5887 -0.754527 1.7898
5888 -2.04166 1.67072
5889 0.358134 1.81707
5890 -0.642388 1.6397
5891 0.64905 1.70345
5892 -3.60878 1.92574
5893 -0.181478 1.09756
5894 -0.0145563 1.0315
5895 -0.292507 1.55534
5896 -0.537751 2.1259
5897 8.57402 0
5898 -0.859113 1.54824
5899 2.59294 1.31426
5900 -0.0211774 4.37521
5901 -0.0210104 1.44691
5902 -1.4619 2.46094
5903 -0.0209358 2.03896
5904 -0.0210451 1.85395
5912 -0.0208159 2.15027
5914 -0.741864 1.75976
5915 -0.021129 1.71218
5917 -1.77707 2.22096
